Ponto,x,y,θ (deg),ν (deg),M,μ (deg),C⁺ dy/dx,C⁻ dy/dx,K⁺,K⁻
30,0.8493190351843556,0.44583306450077587,9.232928489557597,11.87092337458861,1.4988354209911225,41.85014557483984,1.3694014803323054,-0.6463406923817842,-2.637994885031011,21.103851864146208
31,0.9924833058957389,0.3524248644580424,7.9139541915411025,13.189897672605106,1.543529784149885,40.38087721740445,1.1728371344502118,-0.6444827894680346,-5.275943481064003,21.103851864146208
32,1.1139244577074883,0.27400376754873695,6.594941818355366,14.508910045790842,1.588121925344944,39.02611742378266,1.038642761785287,-0.6440413500480998,-7.9139682274354755,21.103851864146208
33,1.2143883035415455,0.2094898166978725,5.275960686412166,15.827891177734042,1.6327257490501403,37.768513139499746,0.9360056445061301,-0.6447993926020126,-10.551930491321876,21.103851864146208
34,1.3037323287728164,0.1521668684431926,3.9570070143502276,17.14684484979598,1.6774463978567122,36.594245088095654,0.8525193213578327,-0.6465884251871051,-13.189837835445752,21.103851864146208
35,1.386041853457387,0.09915518793113126,2.637995884778146,18.46585597936806,1.7223714905906913,35.492391398456746,0.7818987596533097,-0.6492790600821486,-15.827860094589916,21.103851864146208
w7,3.2532053668156475,1.3382210030444708,1.3190125885038029,19.78483537663971,1.767571122312903,34.45425668816949,0.7205137696636892,0.10396546326109546,-18.465822788135906,21.103847965143512
36,1.5378776453214038,0.0,0.0,21.103851864146208,1.8131212293392418,33.47239116575856,,-0.656972606973518,-21.103851864146208,21.103851864146208
37,1.6098319115904205,0.047926090458841254,1.3189761326721907,22.4228279968184,1.8590773035928603,32.54088160855677,0.6660632224315808,-0.5914119994059288,-21.103851864146208,23.74180412949059
38,0.8756213130497046,0.4808483938122279,10.551904622229788,13.189899507260801,1.543529784149885,40.38087721740445,1.3656371995482133,-0.5896432225492844,-2.637994885031011,23.74180412949059
39,1.0262207990109053,0.3918034383774677,9.232930324213292,14.508873805277297,1.5881190047174094,39.0262028300961,1.1720973599841518,-0.5892234409292104,-5.275943481064003,23.74180412949059
40,1.1545831835006244,0.31649762034952045,7.913917951027557,15.827886178463032,1.6327257490501403,37.768513139499746,1.0397567139554473,-0.5899446024101896,-7.9139682274354755,23.74180412949059
41,1.261460040769608,0.2540396986659136,6.5949368190843565,17.146867310406233,1.6774463978567122,36.594245088095654,0.9383776272911163,-0.5916482513971059,-10.551930491321876,23.74180412949059
42,1.357021545936886,0.19814825060860214,5.275983147022418,18.46582098246817,1.7223714905906913,35.492391398456746,0.8557964539985087,-0.5942088638708509,-13.189837835445752,23.74180412949059
43,1.4454954006506144,0.14612212939823246,3.9569720174503367,19.784832112040252,1.7675711223129034,34.45425668816949,0.7858554908064382,-0.5975302650508323,-15.827860094589916,23.74180412949059
44,1.5292628909068229,0.09639079969670664,2.6379887211759936,21.103815408314595,1.8131183087117075,33.47245218979674,0.724993162760077,-0.6015303255104886,-18.465826687138602,23.74180412949059
w8,3.659370909183629,1.423075792474778,1.3189761326721907,22.4228195697255,1.8590773035928603,32.54088160855677,0.6709556166683275,0.11561435092928643,-21.10384343705331,23.74179570239769
45,1.688229962098591,0.0,0.0,23.74180412949059,1.9055065195070504,31.65443339840967,,-0.6113173752177227,-23.74180412949059,23.74180412949059
46,1.765235078982329,0.04791480520521777,1.3190007599702618,25.06080488946085,1.9524643690049643,30.80869682993875,0.6222288484745674,-0.5393532035085472,-23.74180412949059,26.379805649431113
47,0.9001851428265475,0.514133595653265,11.87090538220005,14.508900267231063,1.588121925344944,39.02611742378266,1.3647435495948042,-0.5389501472248981,-2.637994885031011,26.379805649431113
48,1.0580873365088939,0.42952104698109156,10.551931084183554,15.827874565247559,1.6327257490501403,37.768513139499746,1.1733682416241245,-0.5396414622510224,-5.275943481064003,26.379805649431113
49,1.1933055402029145,0.357484658201161,9.232918710997819,17.146886938433294,1.6774493184842467,36.59417101656313,1.0423873095691527,-0.5412727128181086,-7.9139682274354755,26.379805649431113
50,1.306592775623863,0.2972905467639979,7.913937579054618,18.465868070376494,1.7223714905906913,35.492391398456746,0.9419475621606617,-0.5437259924186997,-10.551930491321876,26.379805649431113
51,1.4084125391823736,0.24306295605972528,6.59498390699268,19.78482174243843,1.7675711223129034,34.45425668816949,0.8600515020590777,-0.5469053355315298,-13.189837835445752,26.379805649431113
52,1.5031273174296005,0.19226655666792308,5.2759727774205984,21.103832872010514,1.8131183087117075,33.47245218979674,0.7906263830035818,-0.55073436439869,-15.827860094589916,26.379805649431113
53,1.5932039153786959,0.14341770670655773,3.9569894811462554,22.422816168284857,1.8590773035928603,32.54088160855677,0.7301639097985388,-0.5551488433885325,-18.465826687138602,26.379805649431113
54,1.6802134266131594,0.09553521514150301,2.6379768926424525,23.74182875678866,1.9055065195070504,31.65443339840967,0.6764435898727125,-0.5600974411731567,-21.103851864146208,26.379805649431113
w9,4.1156296912216614,1.5238983649200681,1.3190007599702618,25.060852977618776,1.9524643690049643,30.80869682993875,0.6279726612837198,0.12729482587743626,-23.741852217648514,26.379853737589038
55,1.8490861152194906,0.0,0.0,26.379805649431113,2.0000005027546885,29.999991684506824,,-0.5714277050756653,-26.379805649431113,26.379805649431113
w10,4.496142904886171,1.5282784378415393,0.0,26.37977467257486,2.000000502754689,29.999991684506824,0.5773500756793288,0.011510961417841883,-26.37977467257486,26.37977467257486
